title,company_name,location,site,job_url,experience_range,key_skills,match_score,why_this_job_fits,missing_skills,resume_alignment_level,is_remote,work_from_home_type
ServiceNow Business Analyst,Lenovo India,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4327938035,1-2 years,servicenow,20,Primary skills: servicenow; ServiceNow/ITIL/incident; Experience: 1-2 years,"linux, sftp, itil",Stretch Role,False,Hybrid
IT Support,Medpace,"Navi Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4114908351,1+ years,monitoring,19,Primary skills: monitoring; On-call / shift work; Experience: 1+ years,"linux, sftp, servicenow, itil",Ignore,False,
Senior Manager – IT Operations,Piramal Finance,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4328002942,15+ years,"automation, aws, azure, itil, monitoring",84,"Primary skills: automation, aws, azure, itil, monitoring; Cloud: Azure, AWS; ServiceNow/ITIL/incident; Support/production oriented; Experience: 15+ years","linux, sftp, servicenow",Strong Match,False,
IT Support Engineer,Confluent,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4343842182,2+ years,monitoring,0,,,Ignore,True,Remote
IT Support Engineer,Ozone Research and Applications (India) Pvt Ltd,"Nagpur, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4327679569,1-2 years,,6,Support/production oriented; Experience: 1-2 years,"linux, sftp, servicenow, itil",Ignore,False,
Technical Support Engineer,HDFC securities,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4340932359,3-7 years,"automation, java, linux, python",11,"Primary skills: automation, linux, python; Secondary skills: java; Development heavy; down-ranked; Experience: 3-7 years","sftp, servicenow, itil",Ignore,False,
"Sr. Enterprise Engineer, IT Asset Management",LinkedIn,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4343333337,5+ years,"automation, itil, monitoring, servicenow",56,"Primary skills: automation, itil, monitoring, servicenow; ServiceNow/ITIL/incident; Experience: 5+ years","linux, sftp",Good Match,False,Hybrid
Head of IT Support Operations,V.Group,worldwide,linkedin,https://www.linkedin.com/jobs/view/4242592520,5+ years,"automation, itil, servicenow",51,"Primary skills: automation, itil, servicenow; On-call / shift work; ServiceNow/ITIL/incident; Experience: 5+ years","linux, sftp",Good Match,False,
Application Support Engineer – Ticket Management (0–6 Months Experience),Opkey,"Noida, Uttar Pradesh, India",linkedin,https://www.linkedin.com/jobs/view/4325542215,,"automation, itil",39,"Primary skills: automation, itil; On-call / shift work; ServiceNow/ITIL/incident","linux, sftp, servicenow",Stretch Role,False,
IT Support Specialist I (UK Shift),Coursera,worldwide,linkedin,https://www.linkedin.com/jobs/view/4322543023,2+ years,servicenow,26,Primary skills: servicenow; ServiceNow/ITIL/incident; Support/production oriented; Experience: 2+ years,"linux, sftp, itil",Stretch Role,False,
Application Support Manager,PwC,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4325373603,7+ years,"automation, azure, itil, monitoring",65,"Primary skills: automation, azure, itil, monitoring; Cloud: Azure; ServiceNow/ITIL/incident; CI/CD; Experience: 7+ years","linux, sftp, servicenow",Good Match,False,
L2 Application Support,Persistent Systems,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4347897091,5-9 years,itil,27,Primary skills: itil; On-call / shift work; ServiceNow/ITIL/incident; Experience: 5-9 years,"linux, sftp, servicenow",Stretch Role,False,Hybrid
Head of Digital Transformation & Application Support,WAISL Limited,"Delhi, India, worldwide",linkedin,https://www.linkedin.com/jobs/view/4339430101,18+ years,automation,12,Primary skills: automation; Experience: 18+ years,"linux, sftp, servicenow, itil",Ignore,False,
Director - Information Technology,Weekday AI (YC W21),"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4339243972,15+ years,,0,Development heavy; down-ranked; Experience: 15+ years,"linux, sftp, servicenow, itil",Ignore,False,Hybrid
IT Support Engineer - Part time,PaperTrue,worldwide,linkedin,https://www.linkedin.com/jobs/view/4323459422,2-4 years,"aws, linux",29,"Primary skills: aws, linux; Cloud: AWS; Experience: 2-4 years","sftp, servicenow, itil",Stretch Role,False,
IT Manager,Scouto AI,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4326525830,10+ years,"aws, azure, itil, linux, servicenow",78,"Primary skills: aws, azure, itil, linux, servicenow; Cloud: Azure, AWS, GCP; ServiceNow/ITIL/incident; Experience: 10+ years",sftp,Strong Match,False,
HDFC Securities - IT Support Analyst - Trading Application,HDFC securities,worldwide,linkedin,https://www.linkedin.com/jobs/view/4335995947,8-12 years,"automation, itil, linux, monitoring",56,"Primary skills: automation, itil, linux, monitoring; ServiceNow/ITIL/incident; Experience: 8-12 years","sftp, servicenow",Good Match,False,
System Administrator - IT Support,Blue Matter,worldwide,linkedin,https://www.linkedin.com/jobs/view/4332831528,3-6 years,"automation, azure, bash, itil, shell",79,"Primary skills: automation, azure, bash, itil, shell; Cloud: Azure; ServiceNow/ITIL/incident; Support/production oriented; Experience: 3-6 years","linux, sftp, servicenow",Strong Match,False,
Assistant Vice President - Application,HDB Financial Services Ltd.,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4316823262,,,8,ServiceNow/ITIL/incident,"linux, sftp, servicenow, itil",Ignore,False,
Application Support Engineer,SemperFI Solutions,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4306112549,,"aws, azure, java, linux, python, shell",88,"Primary skills: aws, azure, linux, python, shell; Secondary skills: java; On-call / shift work; Cloud: Azure, AWS, GCP; Support/production oriented","sftp, servicenow, itil",Strong Match,False,
IT Support (L2),SFJ Business Solutions Pvt. Ltd.,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4293608463,,,6,Support/production oriented,"linux, sftp, servicenow, itil",Ignore,True,Remote
Application Support Specialist,Talent Worx,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4283461573,3+ years,itil,20,Primary skills: itil; ServiceNow/ITIL/incident; Experience: 3+ years,"linux, sftp, servicenow",Stretch Role,False,
Application Support Engineer I,Outseer,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4228818282,4+ years,aws,24,Primary skills: aws; On-call / shift work; Cloud: AWS; Experience: 4+ years,"linux, sftp, servicenow, itil",Stretch Role,True,Remote
IT Support,InOpTra Digital,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4200320179,3-6 years,linux,12,Primary skills: linux; Experience: 3-6 years,"sftp, servicenow, itil",Ignore,True,Remote
IT – Support Engineer,Consolidated,"Karnataka, India, worldwide",linkedin,https://www.linkedin.com/jobs/view/4201043477,3-4 years,"automation, aws, linux, servicenow",53,"Primary skills: automation, aws, linux, servicenow; Cloud: AWS; Experience: 3-4 years","sftp, itil",Good Match,True,Remote
