"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"in-55574228814ee670","indeed","https://in.indeed.com/viewjob?jk=55574228814ee670","http://in.indeed.com/job/customer-success-executive-55574228814ee670","Customer Success Executive","DigitalVia Technologies (OPC) Private Limited","MP, IN","2025-12-20","fulltime","","","","","",False,"","","","kalash.bhalerao@digitalvia.in","**Job Title:** **Customer Success Executive**  
**Location:** Indore (Work from Office)  
**Job Type:** Full-time  
**Experience:** Minimum 2+ years in Sales/Business Development (Digital Marketing preferred)  
**Salary:** Competitive Base Salary + Performance-based Incentives

We are looking for a proactive, client-focused, and relationship-driven **Customer Success Executive** to join our growing team. In this role, you will be the bridge between our clients and internal teams, ensuring smooth onboarding, high satisfaction, and long-term client retention. You will play a crucial role in maximizing the value clients get from our services—**PR, Digital Marketing, and Influencer Marketing**—through strategic account management, performance tracking, and personalized support.

**Key Responsibilities:**  
**Client Onboarding & Relationship Management**

* Understand client objectives, business needs, and expectations to ensure successful service delivery.
* Build and maintain strong, long-term relationships with clients, fostering trust and loyalty.

**Performance Monitoring & Optimization**

* Proactively suggest improvements, optimizations, and new strategies to maximize ROI.
* Ensure timely delivery of project milestones by coordinating with PR, Digital Marketing, and Creative teams.

**Client Retention & Growth**

* Identify opportunities for **upselling and cross-selling** additional services based on client needs.
* Conduct regular check-ins, business reviews, and satisfaction surveys to maintain high engagement.
* Manage and resolve client concerns promptly to ensure smooth collaboration.

**Collaboration & Internal Communication**

* Work closely with internal teams to align client expectations with deliverables.
* Share client feedback and market insights to help refine service offerings and improve processes.
* Assist in developing client case studies and success stories for marketing purposes.

**Reporting & CRM Management**

* Maintain up-to-date client records, communication logs, and project statuses in CRM tools.
* Present retention and satisfaction data to management to guide customer success strategies.

**Required Qualifications**

* Bachelor’s degree in Marketing, Business Administration, Communications, or a related field.
* **2+ years of experience** in Customer Success, Account Management, or Client Servicing—preferably in PR, Digital Marketing, or Influencer Marketing.
* Strong understanding of digital marketing channels and campaign execution.
* Excellent communication, presentation, and relationship-building skills.
* Experience with CRM tools (Zoho, HubSpot) and MS Office.
* Ability to manage multiple accounts simultaneously in a fast-paced environment.

**Key Skills**

* Client relationship management & retention
* Account growth & upselling
* Digital marketing knowledge
* Strategic problem-solving & negotiation
* Performance analysis & reporting
* CRM proficiency
* Strong communication & interpersonal skills

**Why Join DigitalVia?**

* Work in a **fast-paced, creative, and client-focused** agency environment.
* Competitive salary with performance incentives.
* Opportunities for **career growth** and leadership roles.
* Collaborative and supportive work culture.
* Exposure to diverse industries and innovative campaigns.

**How to Apply**

Send your updated resume to **kalash.bhalerao@digitalvia.in**  
For more details, contact us at **+91-9755670135**  
**Subject Line:** *Application for* **Customer Success Executive** *– [Your Name]*

Job Types: Full-time, Permanent

Pay: ₹15,000.00 - ₹35,000.00 per month

Benefits:

* Leave encashment

Work Location: In person","","https://in.indeed.com/cmp/Digitalvia-Technologies-(opc)-Private-Limited","","","","","","","","","","","",""
"in-28d67ef02fbccc23","indeed","https://in.indeed.com/viewjob?jk=28d67ef02fbccc23","https://tmf.avature.net/careersmarketplace/JobDetail/Engineer-Digital-Platforms/32769","Engineer - Digital Platforms","TMF Group","KA, IN","2025-12-20","fulltime","","","","","",False,"","","","","### **General Information**

Job ID

32769

Location

Bangalore, India, Pune, India

Work Types

Full Time, Permanent

Categories

Information Technology

**We never ask for payment as part of our selection process, and we always contact candidates via our corporate accounts and platforms. If you are approached for payment, this is likely to be fraudulent. Please check to see whether the role you are interested in is posted here, on our website.**

**About TMF Group**

TMF Group is a leading global provider of high-value business services to clients operating and investing globally. We focus on providing specialized and business-critical financial and administrative services that enable our clients to operate their corporate structures, finance vehicles and investment funds in different geographical locations.

TMF India is a Great Place to Work, ISO & ISAE certified organization.

**Discover the Role**

The Engineer – Digital Platforms is responsible for providing technical support and maintenance for digital client platforms. This includes troubleshooting issues, identifying, and fixing defects, and implementing enhancements to improve system performance. The Application Support Engineer will work closely with other members of the product development teams and stakeholders across the organization to ensure that applications are running smoothly and meeting the needs of users.

**Key Responsibilities**

* Providing technical support for a range of applications hosted on Azure, Data center including diagnosing, and troubleshooting issues, identifying, and fixing defects, and implementing enhancements
* Assisting with the deployment and testing of new components and updates to the digital client platform
* Collaborating with other members of the IT team and stakeholders to gather and understand requirements, prioritize tasks, and provide timely resolution of issues
* Maintaining documentation and records of support activities and processes
* Participating in On-Call rotation to provide after-hours support as needed

**Key Requirements**

* Bachelor’s degree in computer science or a related field
* 5+ years of experience in application support or a similar technical role
* Proactive application monitoring, analyzing and fixing issues that arise.
* Manage application releases and hotfixes - both regular and ad-hoc.
* Strong problem-solving and analytical skills
* Knowledge of SQL and experience working with REST APIs, web services & micro services
* Excellent communication and collaboration skills
* Flexibility to work outside of normal business hours as needed.

**Technical Skills:**

* Java and Spring Boot for backend development.
* Angular for frontend development
* Good to have knowledge of cloud platforms: Windows Azure
* Management tools/Software: helix/Remedy/Devops.
* Proficiency with database technology such as MSSQL.
* Good understanding of fundamental front-end languages such as HTML, CSS, Angular and JavaScript

**General skills:**

* Team player.
* Constant learner & self-motivated person.
* Analytical and problem-solving skills.
* Ability to work without direct supervision.
* Ability to work under pressure.
* Ability to resolve conflicts.
* Good communication and interpersonal skills.
* Familiar with ITIL & ITSM principles.

**What’s in it for you?**

**Pathways for career development**

* Work with colleagues and clients around the world on interesting and challenging work.
* We provide internal career opportunities, so you can take your career further within TMF.
* Continuous development is supported through global learning opportunities from the TMF Business Academy.

**Making an impact**

* You’ll be helping us to make the world a simpler place to do business for our clients.
* Through our corporate social responsibility program, you’ll also be making a difference in the communities where we work.

**A supportive environment**

* Strong feedback culture to help build an engaging workplace.
* Regardless of where you are in your career, TMF Group opens a world of opportunity where you will be part of our team and is supported in your global career journey.
* Our inclusive work environment allows you to work from our offices around the world, as well as from home, helping you find the right work-life balance to perform at your best.
* At TMF Group, it’s our people who make us who we are. Our company thrives on entrepreneurial spirit and is full of proactive people who combine enthusiasm with responsibility and accountability.

**Other Benefits**

* Anniversary & Birthday Leave policy
* Be part of One TMF
* Paternity & Adoption leaves
* Salary advance policy
* Work flexibility – Hybrid work model
* Talk about growth opportunities (we invest in talent)
* Well-being initiatives

**We’re looking forward to getting to know you!**","","https://in.indeed.com/cmp/Tmf-Group","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/486379d568c9236c6c8a06755209bba3","https://www.tmf-group.com/en/","","Decline to state","Decline to state","We make a complex world simple!","","","","","",""
"in-3fd38a8699e4c7cc","indeed","https://in.indeed.com/viewjob?jk=3fd38a8699e4c7cc","http://in.indeed.com/job/sr-executive-asst-manager-warehouse-operations-3fd38a8699e4c7cc","Sr. Executive / Asst. Manager Warehouse Operations","RISHI KIRAN LOGISTICS PVT LTD","Halol, GJ, IN","2025-12-20","fulltime","","","","","",False,"","","","","**Job Purpose**

The position will be responsible for overseeing day-to-day operational activities, ensuring smooth functioning of electrical operations, maintaining efficiency, safety, and compliance with company standards.

**Key Responsibilities**

* Manage and supervise daily operational activities related to electrical operations.
* Ensure optimum utilization of manpower, machinery, and resources.
* Monitor operational performance and implement process improvements.
* Ensure compliance with safety norms, statutory requirements, and company policies.
* Coordinate with maintenance, production, and other departments for smooth operations.
* Troubleshoot operational issues and take corrective and preventive actions.
* Prepare operational reports and update management on performance metrics.
* Support continuous improvement initiatives and operational excellence.

**Qualifications & Experience**

* **Education:** Engineering Graduate or Diploma Holder in Electrical Engineering.
* **Experience:** Minimum **2–3 years** of relevant operational experience.
* **Age Group:** 26–35 years (preferred).

**Skills & Competencies**

* Strong knowledge of electrical operations and systems.
* Good leadership and team-handling skills.
* Problem-solving and decision-making abilities.
* Effective communication and coordination skills.
* Ability to work under pressure and meet operational targets.

Job Types: Full-time, Permanent

Pay: ₹40,000.00 - ₹50,000.00 per month

Benefits:

* Health insurance
* Provident Fund

Ability to commute/relocate:

* Halol, Gujarat: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

* Current CTC:
* Expected CTC:
* Notice Period:
* Reason for looking for change?

Education:

* Bachelor's (Preferred)

Work Location: In person","","https://in.indeed.com/cmp/Rishi-Kiran-Logistics-Pvt-Ltd","","","","","","","","","","","",""
"in-ad89c53a3fb202e0","indeed","https://in.indeed.com/viewjob?jk=ad89c53a3fb202e0","http://in.indeed.com/job/customer-support-executive-ad89c53a3fb202e0","Customer support executive","manyfits","GJ, IN","2025-12-20","fulltime","","","","","",False,"","","","kaminihr89@gmail.com","Hiring: \\*Customer Support Executive\\* – Vadodara

\\*#HIRING FOR MNC\\*

Customer Support Executive Voice Process

Location: Vadodara

Qualifications: UG/Grad/PG

Salary: ₹2 - ₹2.5 LPA + Performance Allowance

Working Details: Working Days: 6 days a week with 1 rotational off For Boys: Day, Night, and Evening (Any 9-hour shift) For Girls: Day rotational shifts (Any 9-hour shift) \\*Requirements:\\* Immediate joiners only Fluency in English communication is mandatory

Contact: HR Kamini - 9425809871 Email: kaminihr89@gmail.com

#Vadodarajob #mncjob #JobAlert #hiring #mncjob #bpojob #bpo #processAssociate #Immediatejoiners #jobadvertising #jobgujrat #gorwaJobs #batodaJobs #nizampura #jobvrindavancircle #alembiccityjob #manjalpur #waghodia #panchvativadodara #barodaCity #varodaraDiaries #BPOJobs #JobAlert #hiring #hiringnow #hiringalert

#Immediatejoiners #jobadvertising #jobadvertising #jobvadodara une #emailsupport #chatsupport #chatprocess #InternationalProcess #InternationalBPOJob #MultinationalBPO

Job Types: Full-time, Permanent, Fresher, Contractual / Temporary

Pay: ₹14,000.00 - ₹18,000.00 per month

Benefits:

* Cell phone reimbursement
* Food provided
* Health insurance
* Paid time off
* Provident Fund

Application Question(s):

* Please read carefully before applying. Apply only if you are comfortable with the below conditions

Joining: Immediate  
Interview Mode: Walk-in only (No virtual interviews)

Work Mode: Work from Office only

Shift Timing   
Day rotational for girls 8am-7pm any 9 hours

Day rotational for boys  
Over night shifts any 9 hours

It will change 15-15 days

Comfortable with salary, shift timings,and process mentioned above

* Ready to join immediately

If having Experience,Experience letter mandatory (if PF were deducted)  
Fresher welcome

Education:

* Higher Secondary(12th Pass) (Required)

Language:

* English (Required)

Location:

* Vadodara, Gujarat (Required)

Shift availability:

* Day Shift (Required)
* Overnight Shift (Required)

Work Location: In person","","https://in.indeed.com/cmp/Manyfits","","","","","","","","","","","",""
"in-6c859629b90ba75d","indeed","https://in.indeed.com/viewjob?jk=6c859629b90ba75d","http://in.indeed.com/job/customer-care-executive-6c859629b90ba75d","Customer Care Executive","Techplus Infotech Pvt. Ltd.","MH, IN","2025-12-20","fulltime","","","","","",False,"","","","hr@techplusinfotech.com","**Job Summary:**

We are looking for a detail-oriented and experienced Customer Executive – Back Office to support our KYC operations. The ideal candidate will have 2years back-office experience in verifying, processing, and maintaining KYC documentation in compliance with regulatory and internal policies.

**Key Responsibilities:**

Handle end-to-end back-office KYC processing for opening .

Verify customer documents for completeness and compliance with KYC/AML regulations.

Review and validate forms, identification documents, and business proofs submitted by customers.

Ensure accurate data entry into core banking and KYC systems.

Coordinate with the front-office/branches for missing or incorrect documentation.

Maintain and update records as per audit and compliance requirements.

Flag and escalate high-risk or suspicious accounts to the compliance team.

Support periodic review and remediation of existing current account KYC records.

**Required Skills and Qualifications:**

1–3 years of back-office experience in KYC operations or Bank Domain or financial institution.

Sound knowledge of KYC, AML, and RBI compliance guidelines.

Strong attention to detail and accuracy in documentation handling.

Familiarity with core banking software and document management systems.

Ability to work independently as well as in coordination with internal departments **Graduation In any stream mandatory ( Only they can share thier resume) Good communication in Englishis mandatory .**  Intrested resumes can share their resume on **hr@techplusinfotech.com**

Job Type: Full-time

Pay: ₹180,000.00 - ₹225,000.00 per year

Benefits:

* Provident Fund

Application Question(s):

* How many days for Notice Period you will hold ?

Education:

* Bachelor's (Required)

Experience:

* Customer service: 1 year (Preferred)

Language:

* English (Required)

Work Location: In person","","https://in.indeed.com/cmp/Techplus-Infotech-Pvt.-Ltd.","","","","","","","","","","","",""
"in-6f17d97e22cdecc6","indeed","https://in.indeed.com/viewjob?jk=6f17d97e22cdecc6","http://in.indeed.com/job/front-office-executive-6f17d97e22cdecc6","Front Office Executive","IQUEST","Sangrur, PB, IN","2025-12-20","fulltime","","","","","",False,"","","","","**Job Overview:** The Front Office Executive will be the first point of contact for students and parents, ensuring smooth communication and efficient administration at the institute. This role requires handling inquiries, student records and appointments while using an ERP system to manage data efficiently.

**Key Responsibilities**

**Front Office Management**

* Welcome and counsel new students and parents, explaining course details, fee structures and institute features.
* Answer phone calls, emails and WhatsApp inquiries efficiently.
* Maintain a welcoming and organized front office area.

**Admissions & Student Support**

* Assist students in the admission process, including application forms and documentation.
* Guide students regarding class schedules, course materials and institute facilities.
* Coordinate with the academic team for student registrations and batch allocation.
* Handle student grievances and escalate issues to the appropriate department when necessary.

**Administrative & Operational Tasks**

* Maintain and update student records in both physical and digital formats using ERP.
* Efficiently handle student admission processes.
* Assist in maintaining an organized front desk and ensure smooth day-to-day operations.
* Keep track of student attendance, batches and faculty schedules.

**Communication & Coordination**

* Coordinate with teachers, students and parents for meetings and academic updates.
* Coordinate with other departments for smooth operational activities.
* Assist in sharing notifications, reminders and updates to students.
* Deliver presentations about the institute to school principals and external stakeholders.
* Draft proposals, reports and PowerPoint presentations as required.
* Support in promotional activities and event coordination.

**Fee Collection & Financial Assistance**

* Manage the entire fee collection process, ensuring timely reminders and follow-ups with students and parents.
* Maintain accurate records of fee payments in the ERP system and generate reports.
* Handle installment plans, discounts, scholarships and other financial adjustments as per institute policies.
* Coordinate with the accounts department for tracking.
* Provide assistance in financial queries related to courses, refunds and due payments.

**Event & Facility Management**

* Assist in organizing workshops, seminars and orientation programs.
* Ensure classroom and facility readiness before sessions.
* Maintain records of visitor logs and security compliance.

**Required Qualifications & Skills**

* Excellent **communication skills** (must be fluent in English, Hindi and Punjabi).
* Experience in the education or hospitality sector (coaching institutes, schools or publishing houses preferred).
* Strong **administrative and organizational** skills.
* Ability to manage fee structures, payment follow-ups and student financial records.
* Experience with ERP/CRM software for data management is a plus.
* Polite and professional demeanor with excellent counseling and persuasion skills.
* Proficiency in MS Office (Word, Excel, PowerPoint).
* Quick learner with the ability to multitask efficiently.

Job Type: Full-time

Pay: ₹15,000.00 - ₹25,000.00 per month

Benefits:

* Cell phone reimbursement

Work Location: In person","","https://in.indeed.com/cmp/Iquest-2afc5b07","","","","","","","","","","","",""
"in-215fce03c3f5c7d8","indeed","https://in.indeed.com/viewjob?jk=215fce03c3f5c7d8","http://in.indeed.com/job/security-engineer-next-gen-firewall-215fce03c3f5c7d8","Security Engineer- Next Gen Firewall","Renovision Automation Services Pvt. Ltd","Sambalpur, OR, IN","2025-12-20","fulltime","","","","","",False,"","","","","**Experience**\\*: 2-10 years

**Education**\\*: BE/B-Tech/BCA or master’s degree in CS/IT

**Certification**\\*: CEH/ CCNA Sec/ PCNSA equivalent certification of respective OEM

**Technology (OEM)\\*:** Network/Cyber Security, IPS-Checkpoint, Malware Sandboxing-Palo Alto, Perimeter DDOS-NetScout

**Skills**: Candidate should have adequate knowledge of security devices like Firewalls, DDOS and other security devices.

**Job summary**

As an Security Monitoring Engineer, it is a vigilant first responder, responsible for the 24/7 monitoring of security systems. The analyst will monitor and analyze alerts related to firewalls, anti-DDoS, malware proxy, and sandboxing technologies. You will perform initial triage, escalate confirmed security incidents, and help maintain the overall security posture of the organization.

**Key Responsibilities**

* Perform initial triage on all security alerts to determine their severity and authenticity. Differentiate between false positives and legitimate security threats.
* Monitor and analyze IPS related alerts from Check Point products. Identify and investigate potential network intrusions and malicious traffic patterns.
* Analyze reports from Palo Alto malware sandboxing to determine if a file is malicious, understand its behavior, and identify affected systems.
* Monitor traffic anomalies and alerts from NetScout perimeter DDoS tools to detect and analyze distributed denial-of-service attacks against the network.
* Investigate and document all security incidents and events, recording key details such as the nature of the event, affected assets, and actions taken.
* Escalate confirmed security incidents and complex issues to Level 2/3 analysts or other relevant support teams, providing a detailed handover.
* Follow established incident response procedures for handling standard security events.
* Update and maintain security incident records in the ticketing system, ensuring all information is accurate and up to date.
* Install application patches and signed software updates in order to improve performance, enable additional functionality or enhance security standard including but not limited to Performing Scans, Management of the system, Updating of plugins and patches, etc.
* To maintain the inventory of entire assets of Cyber Security solutions as per scope and maintain and update a database with respect to OS, Database, Webservers, Application details, and IP addresses pertaining to all Security Solutions under the mentioned scope.

Job Types: Full-time, Permanent

Pay: From ₹400,000.00 per year

Application Question(s):

* How many years of total experience do you currently have?
* What is your current location?
* What is your current CTC?
* What is your expected CTC?
* What is your notice period/ LWD?
* What is your highest qualification with stream?
* Which global certification do you have?
* How many years of experience do you have in Next Gen Firewall with IPS, Proxy, Malware Sandboxing & Anti Dods?

Work Location: In person","","https://in.indeed.com/cmp/Renovision-Automation-Services-Pvt.-Ltd","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/5b86d3baba9c7d925832d2bc764c1292","https://www.raspl.com","New Delhi","1,001 to 5,000","","","","","","","",""
"in-e1198f560d63e323","indeed","https://in.indeed.com/viewjob?jk=e1198f560d63e323","http://in.indeed.com/job/vapt-analyst-e1198f560d63e323","VAPT Analyst","Mobily","KA, IN","2025-12-20","fulltime","","","","","",True,"","","","","**Job description**

**Experience Level** : 3 Years  
**Position Overview** :  
We are seeking a skilled VAPT Engineer with 3 years of experience to join our dynamic cybersecurity team. The ideal candidate will have a strong background in vulnerability assessment and penetration testing, with a keen eye for identifying security risks and implementing effective solutions.  
Hands-on experience in identifying and exploiting vulnerabilities in web applications, APIs, and mobile platforms. Thorough knowledge of cloud security (AWS, Azure, GCP) and proper understanding of secure development life cycle (SDLC) practices is a must.  
**Key Responsibilities:**  
**Vulnerability Assessment** :  
Perform regular vulnerability scans on applications, networks, and systems.  
Identify, analyze, and classify security vulnerabilities.

**Penetration Testing** :  
Conduct penetration tests to simulate cyberattacks and assess system security.  
Exploit vulnerabilities to validate their impact.

**Reporting** :  
Prepare detailed vulnerability assessment and penetration testing reports.  
Provide actionable recommendations to mitigate risks.

**Compliance and Standards** :  
Ensure adherence to industry standards (OWASP, SANS, NIST, etc.).  
Support compliance with frameworks like ISO 27001, PCI DSS, GDPR, etc.

**Collaboration** :  
Work closely with development, IT, and security teams to remediate vulnerabilities.  
Provide guidance on secure coding practices and system hardening.  
Continuous Improvement:  
Stay updated on OWASP Top 10 and CWE/SANS 25 vulnerability categories.  
Stay updated on the latest security trends, tools, and techniques.  
Recommend enhancements to existing security protocols.  
**Tool Expertise** :  
Use tools such as Nessus, Burp Suite, Metasploit, Kali Linux, Qualys, and others for VAPT activities.  
**Qualifications** :

Bachelor s degree in Computer Science, Information Technology, or a related field (preferred but not compulsory)  
3 years of experience in Vulnerability Assessment and Penetration Testing.  
Strong understanding of network protocols, operating systems, cloud infrastructure and web applications.  
Excellent problem-solving skills and attention to detail.  
Relevant certifications such as CEH, OSCP, or CISSP, GIAC Certified Penetration Tester (GPEN) or Offensive Security Experienced Penetration Tester (OSEP) are a plus  
Strong communication skills Written & Verbal in English language  
Ability to work collaboratively in a team environment is a must

**Role:** VAPT Analyst

Job Type: Full-time

Pay: ₹800,000.00 - ₹900,000.00 per year

Benefits:

* Food provided
* Health insurance
* Paid time off
* Work from home

Work Location: In person","","https://in.indeed.com/cmp/Mobily","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/eef20ecb6d27b9aa89b010a11f766076","http://www.mobily.com.sa","Riyadh","1,001 to 5,000","$1B to $5B (USD)","","","","","","",""
"in-9e60a078d8af4d2d","indeed","https://in.indeed.com/viewjob?jk=9e60a078d8af4d2d","https://jobs.smartrecruiters.com/Nagarro1/744000099916984-staff-engineer-sap-basis","Staff Engineer, SAP-BASIS","Nagarro","MH, IN","2025-12-20","fulltime","","","","","",False,"","","","","**Company Description**

**We're Nagarro,** we are a Digital Product Engineering company that is scaling in a big way! We build products, services, and experiences that inspire, excite, and delight. We work at scale across all devices and digital mediums, and our people exist everywhere in the world (17500+ experts across 39 countries, to be exact). Our work culture is dynamic and non-hierarchical. We are looking for great new colleagues. That is where you come in!

 **Job Description**

**REQUIREMENTS:**

* Must have 6+ years of hands-on experience in SAP IS-U functional consulting.
* Must have hands-on experience in implementing, supporting, and enhancing SAP IS-U solutions.
* Should have strong expertise across IS-U core modules, excellent analytical skills, and the ability to work closely with business stakeholders to design and deliver efficient utility processes.
* Must have strong knowledge of utility industry processes (Electricity, Water, Gas).
* Must have experience in at least one full lifecycle SAP IS-U implementation.
* Should have good understanding of FICA processes, billing schemas, rate configuration, and master data.
* Should have strong analytical and problem-solving skills.
* Should have excellent communication and documentation abilities.

**RESPONSIBILITIES:**

* Understanding functional requirements thoroughly and analysing the client’s needs in the context of the project
* Envisioning the overall solution for defined functional and non-functional requirements, and being able to define technologies, patterns, and frameworks to realize it.
* Determining and implementing design methodologies and tool sets
* Enabling application development by coordinating requirements, schedules, and activities.
* Being able to lead/support UAT and production roll outs.
* Creating, understanding, and validating WBS and estimated effort for given module/task, and being able to justify it.
* Addressing issues promptly, responding positively to setbacks and challenges with a mindset of continuous improvement
* Giving constructive feedback to the team members and setting clear expectations.
* Helping the team in troubleshooting and resolving of complex bugs
* Coming up with solutions to any issue that is raised during code/design review and being able to justify the decision taken.
* Carrying out POCs to make sure that suggested design/technologies meet the requirements.

 **Qualifications**

Bachelor’s or master’s degree in computer science, Information Technology, or a related field.","","https://in.indeed.com/cmp/Nagarro","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b06e4ef63fcccb694fe0a10b53046a22","http://www.nagarro.com/","San Jose, California, United States","","","","","","","","",""
"in-8d991c3ec27fbd31","indeed","https://in.indeed.com/viewjob?jk=8d991c3ec27fbd31","http://in.indeed.com/job/process-coordinator-engineering-operations-8d991c3ec27fbd31","Process Coordinator – Engineering Operations","Adrianaa services","TS, IN","2025-12-20","fulltime","","","","","",False,"","","","madhur@adrianaa.com","**Job Title:**

**Process Coordinator – Engineering & Manufacturing Operations**

**Salary:** ₹18,000 – ₹25,000 per month  
**Location:** Paradise Circle, Secunderabad  
**Timing:** 9:30 AM – 6:00 PM  
**Note:** Immediate Joiner Preferred

**Job Description:**

The Company is hiring a **Process Coordinator** to support daily operational and documentation activities across engineering & manufacturing workflows.

The ideal candidate must have experience coordinating processes, preparing reports, tracking project activities, and maintaining communication between internal departments.

**Key Responsibilities:**

* Coordinate end-to-end process activities within engineering/manufacturing operations
* Maintain project documentation, reports, and workflow trackers
* Follow up with internal teams for task updates and process completion
* Support the operations team with scheduling, tracking & reporting
* Ensure process compliance, accuracy, and timely execution
* Perform data entry and maintain records on Google Sheets / MS Excel

**Interested candidates:**

can send their resume on this **email ID: madhur@adrianaa.com**

or

msg or call to **HR Madhur Mishra - WtsApp no: + 91 8010768617.**

Process Coordinator Jobs Secunderabad, Engineering Coordination Jobs Hyderabad, Manufacturing Process Executive, Operations Coordinator Engineering, UGESL Jobs.

Job Types: Full-time, Permanent

Pay: ₹18,000.00 - ₹25,000.00 per month

Application Question(s):

* Do you have any experience Google Sheets / MS Excel, Email Drafting, Follow up, Calendar Scheduling ?
* Are you currently working or left you job?

* If selected, how soon can you join?

* What is your In Hand Salary per month?

Experience:

* Process Coordinator: 1 year (Required)

Location:

* Secunderabad, Telangana (Required)

Work Location: In person","","https://in.indeed.com/cmp/Adrianaa-Services-1","","","","","","","","","","","",""
