title,company_name,location,site,job_url,experience_range,key_skills,match_score,why_this_job_fits,missing_skills,resume_alignment_level,is_remote,work_from_home_type
ServiceNow Business Analyst,Lenovo India,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4327938035,1-2 years,"incident, servicenow, sla",44,"Primary skills: incident, servicenow, sla; ServiceNow/ITIL/incident; Experience: 1-2 years","linux, sftp, itil",Stretch Role,False,Hybrid
Application Support Engineer,Spotnana,worldwide,linkedin,https://www.linkedin.com/jobs/view/4345102022,3+ years,"alert, api, aws, ftp, log, monitor, monitoring, rest, sftp, sla",82,"Primary skills: alert, aws, ftp, log, monitor, monitoring, sftp, sla; Secondary skills: api, rest; On-call / shift work; Cloud: AWS; Experience: 3+ years","linux, servicenow, itil",Strong Match,False,
Junior Application Support Analyst,WPP,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4347882351,1+ years,"alert, incident, itil, log, rest",61,"Primary skills: alert, incident, itil, log; Secondary skills: rest; ServiceNow/ITIL/incident; Experience: 1+ years","linux, sftp, servicenow",Good Match,False,Hybrid
IT Support Technician,Ria Money Transfer,worldwide,linkedin,https://www.linkedin.com/jobs/view/4350287518,2-5 years,"azure, log, monitor, monitoring, sla",65,"Primary skills: azure, log, monitor, monitoring, sla; Cloud: Azure; Experience: 2-5 years","linux, sftp, servicenow, itil",Good Match,False,
"ServiceNow Agentic AI Developer – IRM, TPRM & BCM (1-3yrs, 3-5yrs) | Remote.",REDE Consulting | ServiceNow IRMGRC DataAI xpert,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4345261553,1-3 years,"api, aws, azure, log, rest, servicenow",0,,,Ignore,True,
Information Technology Intern,"VSV WINS, INC",worldwide,linkedin,https://www.linkedin.com/jobs/view/4337832863,,,6,Support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,
Information Systems Engineer,SAS,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4339199704,3+ years,"bash, linux, log, python, servicenow, shell",75,"Primary skills: bash, linux, log, python, servicenow, shell; On-call / shift work; ServiceNow/ITIL/incident; Experience: 3+ years","sftp, itil",Strong Match,False,
Sr Support Engineer -GMI,McLaren Strategic Solutions (MSS),"Bangalore North Rural, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4339470856,4-12 years,"api, log",23,Primary skills: log; Secondary skills: api; Support/production oriented; Experience: 4-12 years,"linux, sftp, servicenow, itil",Stretch Role,False,
Senior Application Support Analyst,Glencore,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4324437255,10-15 years,"alert, api, aws, azure, incident, itil, linux, log, monitor, monitoring, python, rest, shell, sla",95,"Primary skills: alert, aws, azure, incident, itil, linux, log, monitor, monitoring, python, shell, sla; Secondary skills: api, rest; On-call / shift work; Cloud: Azure, AWS; ServiceNow/ITIL/incident; Experience: 10-15 years","sftp, servicenow",Strong Match,False,
"Vice President, Application Support Manager",BNY,worldwide,linkedin,https://www.linkedin.com/jobs/view/4334306539,10-13 years,"alert, api, devops, incident, log, monitor, monitoring",85,"Primary skills: alert, incident, log, monitor, monitoring; Secondary skills: api, devops; On-call / shift work; ServiceNow/ITIL/incident; Experience: 10-13 years","linux, sftp, servicenow, itil",Strong Match,False,
System Administrator,Cricbuzz.com,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4349552909,2-5 years,"log, monitor",30,"Primary skills: log, monitor; Support/production oriented; Experience: 2-5 years","linux, sftp, servicenow, itil",Stretch Role,True,Remote
Senior Technology Analyst,Randstad Enterprise,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4344664618,5+ years,"servicenow, sla",39,"Primary skills: servicenow, sla; On-call / shift work; ServiceNow/ITIL/incident; Experience: 5+ years","linux, sftp, itil",Stretch Role,False,Hybrid
Technical Support Engineer,Pretium,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4327965370,5+ years,"alert, azure, incident, itil, log, monitor",73,"Primary skills: alert, azure, incident, itil, log, monitor; Cloud: Azure; ServiceNow/ITIL/incident; Experience: 5+ years","linux, sftp, servicenow",Strong Match,True,Remote
Technical Sales Support Engineer,KPM Engineering Sol. Pvt. Ltd.,"Gurugram, Haryana, India",linkedin,https://www.linkedin.com/jobs/view/4344627730,,rest,11,Secondary skills: rest; Support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,
IT Support,Medpace,"Navi Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4114908351,1+ years,"log, monitor, monitoring, rest",48,"Primary skills: log, monitor, monitoring; Secondary skills: rest; On-call / shift work; Experience: 1+ years","linux, sftp, servicenow, itil",Good Match,False,
Senior Manager – IT Operations,Piramal Finance,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4328002942,15+ years,"aws, azure, incident, itil, log, monitor, monitoring, sla",84,"Primary skills: aws, azure, incident, itil, log, monitor, monitoring, sla; Cloud: Azure, AWS; ServiceNow/ITIL/incident; Support/production oriented; Experience: 15+ years","linux, sftp, servicenow",Strong Match,False,
RPA Developer - ServiceNow,EY,"Gurugram, Haryana, India",linkedin,https://www.linkedin.com/jobs/view/4344169439,2+ years,"api, azure, log, python, servicenow",66,"Primary skills: azure, log, python, servicenow; Secondary skills: api; Cloud: Azure; ServiceNow/ITIL/incident; Experience: 2+ years","linux, sftp, itil",Good Match,False,
IT Customer Experience Support Analyst,Anaplan,"Gurgaon, Haryana, India",linkedin,https://www.linkedin.com/jobs/view/4344337891,,"alert, azure, linux, log, monitor, monitoring, servicenow, sla",73,"Primary skills: alert, azure, linux, log, monitor, monitoring, servicenow, sla; Cloud: Azure; ServiceNow/ITIL/incident","sftp, itil",Strong Match,False,Hybrid
IT Support Specialist,Stefanini North America and APAC,"Gurugram, Haryana, India",linkedin,https://www.linkedin.com/jobs/view/4344003974,,"log, monitor, monitoring",42,"Primary skills: log, monitor, monitoring; Support/production oriented","linux, sftp, servicenow, itil",Stretch Role,False,
IT Support Engineer,Confluent,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4343842182,2+ years,"incident, log, monitor, monitoring",0,,,Ignore,True,Remote
IT Support Engineer,Ozone Research and Applications (India) Pvt Ltd,"Nagpur, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4327679569,1-2 years,"log, monitor",30,"Primary skills: log, monitor; Support/production oriented; Experience: 1-2 years","linux, sftp, servicenow, itil",Stretch Role,False,
IT Support Specialist,Somewhere,worldwide,linkedin,https://www.linkedin.com/jobs/view/4328040262,2+ years,"aws, azure, incident, linux",72,"Primary skills: aws, azure, incident, linux; Cloud: Azure, AWS, GCP; ServiceNow/ITIL/incident; Support/production oriented; Experience: 2+ years","sftp, servicenow, itil",Strong Match,True,Remote
IT Support Specialist II,Harness,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4311444271,5+ years,"api, devops, incident, log, observability, rest, servicenow, sla",52,"Primary skills: incident, log, servicenow, sla; Secondary skills: api, devops, observability, rest; On-call / shift work; ServiceNow/ITIL/incident; CI/CD; Development heavy; down-ranked; Experience: 5+ years","linux, sftp, itil",Good Match,False,
Technical support engineer (L3),3CLogic,"Noida, Uttar Pradesh, India",linkedin,https://www.linkedin.com/jobs/view/4343905861,0-2 years,"ftg, java, linux, log, python, rest, servicenow, sla",0,,,Ignore,True,Hybrid
ServiceNow AI Architect,Senovo IT Ltd,worldwide,linkedin,https://www.linkedin.com/jobs/view/4327769966,,servicenow,20,Primary skills: servicenow; ServiceNow/ITIL/incident,"linux, sftp, itil",Stretch Role,True,Remote
Service Desk Technician,Cornerstone OnDemand,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4343991250,3+ years,"alert, azure, incident, itil, log, monitor, servicenow",73,"Primary skills: alert, azure, incident, itil, log, monitor, servicenow; Cloud: Azure; ServiceNow/ITIL/incident; Experience: 3+ years","linux, sftp",Strong Match,True,Remote
Incident & Major Incident Manager,Tata Consultancy Services,"Bangalore Urban, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4327718437,,"incident, itil, monitor, monitoring, servicenow",75,"Primary skills: incident, itil, monitor, monitoring, servicenow; On-call / shift work; ServiceNow/ITIL/incident","linux, sftp",Strong Match,False,
Application Support Specialist,Notified,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4343914268,,"api, aws, azure, log, monitor, monitoring",75,"Primary skills: aws, azure, log, monitor, monitoring; Secondary skills: api; Cloud: Azure, AWS","linux, sftp, servicenow, itil",Strong Match,True,Hybrid
Technical Support Engineer,HDFC securities,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4340932359,3-7 years,"api, java, linux, log, python, sla",28,"Primary skills: linux, log, python, sla; Secondary skills: api, java; Development heavy; down-ranked; Experience: 3-7 years","sftp, servicenow, itil",Stretch Role,False,
IT Support Engineer,ParentPay Group,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4343656088,,"azure, incident, itil, log, monitor, monitoring",73,"Primary skills: azure, incident, itil, log, monitor, monitoring; Cloud: Azure; ServiceNow/ITIL/incident","linux, sftp, servicenow",Strong Match,True,Remote
ServiceNow Developer,Team Geek Solutions,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4327762386,4+ years,"api, java, log, rest, servicenow",47,"Primary skills: log, servicenow; Secondary skills: api, java, rest; ServiceNow/ITIL/incident; Experience: 4+ years","linux, sftp, itil",Good Match,False,
Support Desk Executive,Publicis Production,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4343656161,2-5 years,"itil, servicenow, sla",57,"Primary skills: itil, servicenow, sla; On-call / shift work; ServiceNow/ITIL/incident; Support/production oriented; Experience: 2-5 years","linux, sftp",Good Match,False,
3DX Application Support Engineer,L&T Technology Services,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4327590167,4-8 years,"incident, log, log analysis, monitor",56,"Primary skills: incident, log, log analysis, monitor; ServiceNow/ITIL/incident; Experience: 4-8 years","linux, sftp, servicenow, itil",Good Match,False,
IT Helpdesk Technician,Porch Group,worldwide,linkedin,https://www.linkedin.com/jobs/view/4312778449,4+ years,"api, aws, log, monitor, sla",58,"Primary skills: aws, log, monitor, sla; Secondary skills: api; Cloud: AWS; Experience: 4+ years","linux, sftp, servicenow, itil",Good Match,True,Hybrid
IT Support Executive,Kawen manpower,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4327088987,2-3 years,"log, monitor, monitoring",36,"Primary skills: log, monitor, monitoring; Experience: 2-3 years","linux, sftp, servicenow, itil",Stretch Role,False,
IT Support Analyst I,Calix,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4343324080,2+ years,"aws, azure, incident, log",66,"Primary skills: aws, azure, incident, log; Cloud: Azure, AWS; ServiceNow/ITIL/incident; Experience: 2+ years","linux, sftp, servicenow, itil",Good Match,False,
"Vice President, Production Services Application Support",BNY,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4343472864,,"api, log, monitor, monitoring",41,"Primary skills: log, monitor, monitoring; Secondary skills: api","linux, sftp, servicenow, itil",Stretch Role,False,
ServiceNow Engineer,Quantum Integrators,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4327263973,4+ years,"incident, log, monitor, observability, servicenow",0,,,Ignore,False,Hybrid
Head of IT Support Operations,V.Group,worldwide,linkedin,https://www.linkedin.com/jobs/view/4242592520,5+ years,"api, incident, itil, log, monitor, rest, servicenow, sla",85,"Primary skills: incident, itil, log, monitor, servicenow, sla; Secondary skills: api, rest; On-call / shift work; ServiceNow/ITIL/incident; Experience: 5+ years","linux, sftp",Strong Match,False,
